station,profile,x_level,qualified_resources,Y0,Y1,Y2,Y3,content_profile,most_frequent_y,article_characteristic
Business FM,2024H1,X1,Официальный сайт Business FM,17,0,0,83,Y3,Y3,X1Y3
Business FM,2026H1,X2,Официальный канал Business FM в MAX | Официальный сайт Business FM,6,5,1,88,Y3,Y3,X2Y3
Дорожное радио,2024H1,X2,Площадка «Дорожного радио» в Одноклассниках | Официальный сайт «Дорожного радио»,35,2,49,14,mixed,Y2,X2; mixed Y profile
Дорожное радио,2026H1,X1,Официальный сайт «Дорожного радио»,34,3,33,30,mixed,Y0,X1; mixed Y profile
Маяк,2024H1,X3,Подкасты «Маяка» в Apple Podcasts | Платформа ВГТРК «Смотрим» | Официальная площадка «Маяка» во ВКонтакте | Программы «Маяка» в Яндекс Музыке,3,30,3,64,Y3,Y3,X3Y3
Маяк,2026H1,X3,Подкасты «Маяка» в Apple Podcasts | Официальный канал «Маяка» в MAX | Платформа ВГТРК «Смотрим» | Официальная площадка «Маяка» во ВКонтакте | Программы «Маяка» в Яндекс Музыке,11,32,3,54,Y3,Y3,X3Y3
Радио 1,2024H1,X3,Подкасты «Радио 1» на podcast.ru | Официальная площадка «Радио 1» во ВКонтакте | Официальный сайт «Радио 1»,11,1,4,84,Y3,Y3,X3Y3
Радио 1,2026H1,X3,Официальный канал «Радио 1» в MAX | Подкасты «Радио 1» на podcast.ru | Подкасты «Радио 1» на Podster | Официальный сайт «Радио 1»,5,1,1,93,Y3,Y3,X3Y3
