station,period,x,y,normalized_contribution,n_posts,m_xy,display_points
Дорожное радио,2024H1,2,1,0.000000,100,0.000000,0
Дорожное радио,2024H1,3,1,0.000000,100,0.000000,0
Дорожное радио,2024H1,4,1,0.000000,100,0.000000,0
Дорожное радио,2024H1,1,2,1.000000,100,1.000000,1
Дорожное радио,2024H1,2,2,1.000000,100,1.000000,1
Дорожное радио,2024H1,3,2,0.000000,100,0.000000,0
Дорожное радио,2024H1,4,2,0.000000,100,0.000000,0
Дорожное радио,2024H1,1,3,0.500000,100,0.500000,1
Дорожное радио,2024H1,2,3,0.500000,100,0.500000,0
Дорожное радио,2024H1,3,3,0.000000,100,0.000000,0
Дорожное радио,2024H1,4,3,0.000000,100,0.000000,0
Дорожное радио,2024H1,1,4,1.000000,100,1.000000,1
Дорожное радио,2024H1,2,4,0.000000,100,0.000000,0
Дорожное радио,2024H1,3,4,0.000000,100,0.000000,0
Дорожное радио,2024H1,4,4,0.000000,100,0.000000,0
Дорожное радио,2026H1,1,1,1.000000,100,1.000000,1
Дорожное радио,2026H1,2,1,0.000000,100,0.000000,0
Дорожное радио,2026H1,3,1,0.000000,100,0.000000,0
Дорожное радио,2026H1,4,1,2.000000,100,2.000000,2
Дорожное радио,2026H1,1,2,1.000000,100,1.000000,1
Дорожное радио,2026H1,2,2,0.000000,100,0.000000,0
Дорожное радио,2026H1,3,2,0.000000,100,0.000000,0
Дорожное радио,2026H1,4,2,1.000000,100,1.000000,1
Дорожное радио,2026H1,1,3,0.000000,100,0.000000,0
Дорожное радио,2026H1,2,3,0.000000,100,0.000000,0
Дорожное радио,2026H1,3,3,0.000000,100,0.000000,0
Дорожное радио,2026H1,4,3,0.000000,100,0.000000,0
Дорожное радио,2026H1,1,4,1.000000,100,1.000000,1
Дорожное радио,2026H1,2,4,0.000000,100,0.000000,0
Дорожное радио,2026H1,3,4,0.000000,100,0.000000,0
Дорожное радио,2026H1,4,4,0.000000,100,0.000000,0
