station,period,active_posts,n_posts,oipa,display_points
Business FM,2024H1,7,100,7.00,7
Business FM,2026H1,98,100,98.00,98
Маяк,2024H1,73,100,73.00,73
Маяк,2026H1,91,100,91.00,91
Радио 1,2024H1,88,100,88.00,88
Радио 1,2026H1,98,100,98.00,98
Дорожное радио,2024H1,6,100,6.00,6
Дорожное радио,2026H1,6,100,6.00,6
