station,profile,eligible,sample_n,X,Y_label,Y_mean,Y_median,Y0,Y1,Y2,Y3,platform_counts,regular_platforms,cross_posts
Business FM,2024H1,5053,100,2,Y3,2.49,3.0,17,0,0,83,"{'youtube': 25, 'app': 90, 'website': 364, 'telegram': 17, 'smotrim': 11, 'vk': 18, 'ok': 3, 'audio': 3}","['app', 'ok', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",1
Business FM,2026H1,7394,100,3,Y3,2.71,3.0,6,5,1,88,"{'website': 7350, 'app': 160, 'audio': 36, 'smotrim': 31, 'telegram': 200, 'youtube': 33, 'ok': 6, 'vk': 18}","['app', 'audio', 'ok', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",201
Маяк,2024H1,1682,100,3,Y3,2.28,3.0,3,30,3,64,"{'smotrim': 1193, 'audio': 609, 'website': 232, 'telegram': 136, 'vk': 112, 'app': 9, 'youtube': 4, 'ok': 5}","['app', 'audio', 'ok', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",324
Маяк,2026H1,1430,100,3,Y3,2.0,3.0,11,32,3,54,"{'telegram': 199, 'smotrim': 1133, 'website': 917, 'audio': 372, 'vk': 41, 'ok': 3, 'app': 10}","['app', 'audio', 'ok', 'smotrim', 'telegram', 'vk', 'website']",823
Радио 1,2024H1,2762,100,3,Y3,2.61,3.0,11,1,4,84,"{'telegram': 2708, 'website': 553, 'audio': 179, 'youtube': 6, 'vk': 64, 'smotrim': 9, 'app': 35, 'ok': 4}","['app', 'audio', 'smotrim', 'telegram', 'vk', 'website', 'youtube']",714
Радио 1,2026H1,4628,100,3,Y3,2.82,3.0,5,1,1,93,"{'website': 4596, 'telegram': 185, 'app': 68, 'audio': 124, 'vk': 31, 'rutube': 4, 'youtube': 5, 'ok': 12, 'smotrim': 4}","['app', 'audio', 'ok', 'rutube', 'telegram', 'vk', 'website', 'youtube']",298
Дорожное радио,2024H1,689,100,3,Y2,1.42,2.0,35,2,49,14,"{'telegram': 31, 'ok': 14, 'youtube': 5, 'website': 14, 'smotrim': 1, 'vk': 6}","['ok', 'telegram', 'website', 'youtube']",6
Дорожное радио,2026H1,861,100,3,Y0→2,1.59,2.0,34,3,33,30,"{'vk': 14, 'ok': 10, 'app': 18, 'website': 51, 'telegram': 65}","['app', 'ok', 'telegram', 'vk', 'website']",18
